Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Waveform 1	1	1.105036602	2.231740588	994.8	2611.4
1	Spectrogram 1	1	1.105036602	2.231740588	994.8	2611.4
2	Waveform 1	1	8.190271284	9.186970965	870.5	2549.2
2	Spectrogram 1	1	8.190271284	9.186970965	870.5	2549.2
3	Waveform 1	1	20.030636617	21.200675372	621.8	2860.1
3	Spectrogram 1	1	20.030636617	21.200675372	621.8	2860.1
4	Waveform 1	1	25.815828239	26.682523613	746.1	2735.8
4	Spectrogram 1	1	25.815828239	26.682523613	746.1	2735.8
5	Waveform 1	1	36.554599161	37.616300995	746.1	2549.2
5	Spectrogram 1	1	36.554599161	37.616300995	746.1	2549.2
