Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Waveform 1	1	2.077600394	3.308770997	932.6	2549.2
1	Spectrogram 1	1	2.077600394	3.308770997	932.6	2549.2
2	Waveform 1	1	7.502445866	8.733616470	870.5	2487.0
2	Spectrogram 1	1	7.502445866	8.733616470	870.5	2487.0
3	Waveform 1	1	12.734920932	13.812195210	746.1	2362.7
3	Spectrogram 1	1	12.734920932	13.812195210	746.1	2362.7
4	Waveform 1	1	18.429084974	19.775677822	808.3	2487.0
4	Spectrogram 1	1	18.429084974	19.775677822	808.3	2487.0
5	Waveform 1	1	25.392893701	26.739486549	808.3	2362.7
5	Spectrogram 1	1	25.392893701	26.739486549	808.3	2362.7
6	Waveform 1	1	31.933487533	33.280080381	683.9	2424.9
6	Spectrogram 1	1	31.933487533	33.280080381	683.9	2424.9
