Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)
1	Waveform 1	1	33.877459186	35.034914659	994.8	2487.0
1	Spectrogram 1	1	33.877459186	35.034914659	994.8	2487.0
2	Waveform 1	1	41.051024090	42.287397868	791.4	2198.3
2	Spectrogram 1	1	41.051024090	42.287397868	791.4	2198.3
3	Waveform 1	1	22.714234136	23.741643332	1055.2	2593.9
3	Spectrogram 1	1	22.714234136	23.741643332	1055.2	2593.9
4	Waveform 1	1	15.696506916	16.723916112	923.3	2374.1
4	Spectrogram 1	1	15.696506916	16.723916112	923.3	2374.1
5	Waveform 1	1	9.958442045	11.090333532	1231.0	2550.0
5	Spectrogram 1	1	9.958442045	11.090333532	1231.0	2550.0
6	Waveform 1	1	3.430501892	4.562393379	879.3	2330.2
6	Spectrogram 1	1	3.430501892	4.562393379	879.3	2330.2
